country,year,sex,agf,total,e0,e1,e5,e10,e15,e20,e25,e30,e35,e40,e45,e50,e55,e60,e65,e70,e75,e80,e85p,e85,e90p,e90,e95p,e95,e100p
BLR,1965,1,4,3953956.1,79902.95,367783.81,488159.22,417961.02,344499.3,260413.35,355691.84,326946.33,319970.75,203624.7,121695.79,151232.44,153264.81,125866.99,89944.89,69259.44,42656.08,23070.09,12012.3,8457.76,3554.54,2735.44,819.1,702.91,116.19
BLR,1966,1,4,3998050.97,77822.09,351001.75,492679.5,429661.35,368197.41,241492.46,350863.51,323503.07,339521.45,223798.59,129786.7,141405.39,154299.69,129799.23,93411.01,70406.39,43758.29,23593.56,13049.53,9364.91,3684.62,2818.23,866.39,748.63,117.76
BLR,1967,1,4,4041127.44,76309.09,336052.24,491855.54,444859.37,379536.48,243018.59,332668.01,327648.83,348331.24,246513.11,144928.86,129629.97,153341.14,135683.42,96586.27,70552.38,45323.32,24294.39,13995.19,10267.44,3727.75,2874.03,853.72,744.38,109.34
BLR,1968,1,4,4082084.08,74646.89,323622.38,485775.04,463117.9,386451.11,260927.6,301462.86,334143.86,346327.76,270362.68,164226.38,120786.64,152613.14,138527.9,102214.1,70333.68,46460.94,25116.5,14966.72,11185.06,3781.66,2928.32,853.34,748.59,104.75
BLR,1969,1,4,4119999.02,71723.59,314270.9,474328.61,479306.58,392984.63,287308.64,267741.55,344896.67,335253.61,294480.92,182604.05,116699.55,150202.59,140637.91,108025.3,70831.09,47235.42,25604.01,15863.4,11893.14,3970.26,3068.72,901.54,792.59,108.95
BLR,1970,1,4,4155342.32,71556.51,304724.03,456458.65,487538.25,402774.94,319289.87,239678.32,349155.19,323669.58,318502.4,201335.59,117534.05,144321.05,142676.65,111387.76,73555.95,48796.93,25888.43,16498.17,12168.62,4329.55,3373.42,956.13,822.06,134.07
BLR,1971,1,4,4190783.17,74583.12,295812.79,436515.82,488617.17,414750.43,348009.31,224257.68,343236.88,319878.6,336197.42,221232.02,125265.12,135122.02,142850.27,114401.21,76582.66,49982.12,26415.43,17073.1,12280.95,4792.15,3814.12,978.03,824.03,154
BLR,1972,1,4,4226057,75254.09,292430.17,418032.29,485442.82,427138.63,363995.15,229437.37,325394.9,323569.37,343636.89,242829.63,140205.16,123610.95,141860.08,118834.73,79182.03,50372.28,27121.42,17709.04,12527.82,5181.22,4192.61,988.61,844.83,143.78
BLR,1973,1,4,4259430.75,74353.55,292256.64,400581.01,478341.55,441248.19,372413.46,252477.89,295283.57,330637.57,340123.54,265754.1,158795.86,115279.91,141128.02,120912.93,83195.57,50514.71,27842.09,18290.59,12790.69,5499.9,4498.02,1001.88,863.74,138.14
BLR,1974,1,4,4292366.3,73966.84,294410.23,384772.3,466115.77,453056.77,377380.9,283750.54,265100.03,341872.05,328533.94,288332.3,176372.43,111328.98,139536.57,121928.16,87613.14,50824.19,28685.65,18785.51,12918.9,5866.61,4795.65,1070.96,921.08,149.88
BLR,1975,1,4,4323877.32,74296.91,296499.88,374246.81,448814.97,460442.79,383467.62,317293.08,239507.34,346383.72,317029.99,310494.56,194295.26,111874,134412.8,123390.27,89948.8,52895.6,29424.99,19157.93,13001.92,6156.01,4919.83,1236.18,1060.17,176.01
BLR,1976,1,4,4353247.57,74410.85,296598.4,369182.23,431160.66,464637.4,391063.68,343687.88,223903.17,340451.89,313783.77,326614.16,213382.94,118770.76,125441.07,123982.37,91868.31,55188.51,29734.41,19385.11,13131.15,6253.96,4862.3,1391.66,1196.99,194.67
BLR,1977,1,4,4381915.92,74785.14,295668.21,367793.09,413650.46,466602,398627.76,356844.04,228775.78,322696.64,317720.35,333117.23,233587.82,132553.71,114217.99,123726.5,95031.5,56987.64,29757.39,19772.67,13443.6,6329.07,4843.48,1485.59,1280.18,205.41
