country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
BLR,1965,1,belarus,1,0,31563,1215,600,632,996,1505,2159,2627,3497,4813,6377,8980,13186,21793,33131,45885,70049,105591,179315,.,.,.,.,.,.
BLR,1965,1,belarus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,7,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,8,25,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,9,13,9,8,0,3,39,164,236,333,522,573,629,940,1382,1494,1537,1461,785,585,.,.,.,.,.,.
BLR,1965,1,belarus,1,10,13,3,4,0,0,20,76,112,155,246,270,301,440,647,703,725,684,349,251,.,.,.,.,.,.
BLR,1965,1,belarus,1,11,25,17,2,2,3,12,3,0,10,20,0,0,0,0,0,29,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,24,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,13,0,0,0,0,0,12,3,6,6,20,8,0,13,16,56,58,71,0,167,.,.,.,.,.,.
BLR,1965,1,belarus,1,14,0,0,0,0,0,0,3,3,0,0,0,7,7,8,11,14,24,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,15,0,0,0,0,0,0,0,3,0,0,0,7,0,8,0,0,0,0,0,.,.,.,.,.,.
BLR,1965,1,belarus,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
