country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
CZE,1994,1,interm,1,0,58609,486,134,92,107,378,496,457,515,841,1539,2591,3215,3807,6052,8044,9891,5849,8254,5861,.,.,.,.,.,.
CZE,1994,1,interm,1,1,9.04,1,0,0,0,1.01,0,0,0,0,0,1.01,0,1,0,1,2.01,1,1,0,.,.,.,.,.,.
CZE,1994,1,interm,1,2,4.04,0,1.01,0,0,0,0,1.02,0,0,0,1.01,0,0,0,0,1,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,3,74.42,0,0,0,0,0,1.02,0,0,1.01,6.05,10.1,0,6.02,11.06,9.03,4.01,7.03,14.05,5.04,.,.,.,.,.,.
CZE,1994,1,interm,1,4,39.22,1,0,0,1,0,1.02,0,0,2.02,3.03,4.04,0,5.02,4.02,2.01,1,3.01,9.03,3.03,.,.,.,.,.,.
CZE,1994,1,interm,1,5,19.13,2,3.02,0,0,5.04,0,1.02,0,0,1.01,0,1.01,2.01,1.01,1,1,0,0,1.01,.,.,.,.,.,.
CZE,1994,1,interm,1,6,6.08,0,0,0,0,0,0,1.02,2.03,0,2.02,0,1.01,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,7,25.13,0,0,0,1,0,0,0,1.02,2.02,0,3.03,1.01,3.01,1.01,0,8.02,1,4.01,0,.,.,.,.,.,.
CZE,1994,1,interm,1,8,16.09,0,0,0,1,0,0,0,2.03,0,1.01,1.01,1.01,2.01,1.01,4.01,1,0,2.01,0,.,.,.,.,.,.
CZE,1994,1,interm,1,9,6.03,0,0,0,1,0,0,0,0,1.01,1.01,0,0,0,0,1,1,0,1,0,.,.,.,.,.,.
CZE,1994,1,interm,1,10,494.04,0,0,0,1,0,0,1.02,2.03,9.09,45.38,78.76,79.62,69.25,60.32,46.17,43.11,23.08,20.07,15.13,.,.,.,.,.,.
CZE,1994,1,interm,1,11,307.71,0,0,0,0,0,0,0,0,5.05,18.15,32.31,41.32,41.15,38.2,43.16,30.08,19.07,24.08,15.13,.,.,.,.,.,.
CZE,1994,1,interm,1,12,1143.2,0,0,0,0,0,1.02,0,2.03,7.07,26.22,48.47,47.37,91.34,117.62,199.72,239.61,137.49,140.49,84.75,.,.,.,.,.,.
CZE,1994,1,interm,1,13,1299.88,0,1.01,0,0,0,0,2.05,5.08,5.05,21.18,50.49,58.45,77.28,158.84,236.85,287.73,148.53,159.56,87.78,.,.,.,.,.,.
CZE,1994,1,interm,1,14,1139.2,0,0,0,0,0,0,2.05,0,8.08,14.12,43.42,83.65,98.36,147.78,201.73,203.51,141.51,138.49,56.5,.,.,.,.,.,.
CZE,1994,1,interm,1,15,513.42,0,0,0,1,0,2.04,0,3.05,3.03,12.1,22.21,35.27,50.18,80.43,104.38,100.25,43.15,34.12,22.2,.,.,.,.,.,.
CZE,1994,1,interm,1,16,737.45,0,0,0,0,0,0,0,3.05,8.08,18.15,29.28,63.49,78.29,104.55,133.48,149.38,66.24,53.19,30.27,.,.,.,.,.,.
CZE,1994,1,interm,1,17,444.1,0,0,0,0,0,0,0,5.08,2.02,4.03,17.17,24.19,24.09,63.33,68.25,89.23,50.18,59.21,37.33,.,.,.,.,.,.
CZE,1994,1,interm,1,18,296.58,0,0,0,0,0,0,0,1.02,4.04,11.09,32.31,38.3,44.16,45.24,54.2,32.08,16.06,14.05,4.04,.,.,.,.,.,.
CZE,1994,1,interm,1,19,4534.46,0,0,0,0,0,2.04,1.02,9.14,24.23,80.68,257.48,429.34,550.02,848.49,856.09,811.05,284.02,285,95.85,.,.,.,.,.,.
CZE,1994,1,interm,1,20,251.43,0,0,0,0,0,0,1.02,3.05,8.08,17.14,15.15,24.19,19.07,29.15,40.14,36.09,13.05,20.07,25.22,.,.,.,.,.,.
CZE,1994,1,interm,1,21,19.1,0,0,0,0,0,0,0,0,0,1.01,0,3.02,0,2.01,2.01,3.01,1,4.01,3.03,.,.,.,.,.,.
CZE,1994,1,interm,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,25,1161.91,0,0,0,0,0,0,0,0,0,1.01,7.07,21.16,39.14,77.41,159.58,247.63,198.71,267.94,142.26,.,.,.,.,.,.
CZE,1994,1,interm,1,26,88.91,0,0,0,0,3.02,8.15,9.22,8.13,12.12,4.03,4.04,6.05,5.02,6.03,5.02,2.01,4.01,7.02,5.04,.,.,.,.,.,.
CZE,1994,1,interm,1,27,501.13,0,0,0,0,0,0,0,0,2.02,2.02,10.1,25.2,33.12,56.3,92.33,109.28,49.18,89.31,32.29,.,.,.,.,.,.
CZE,1994,1,interm,1,28,775.59,1,2.02,1,0,0,1.02,0,1.02,4.04,14.12,40.39,60.47,74.27,130.69,129.47,136.34,79.28,80.28,20.18,.,.,.,.,.,.
CZE,1994,1,interm,1,29,357.2,2,7.05,6,6,5.04,5.09,5.12,10.16,14.13,26.22,33.32,36.28,39.14,41.22,53.19,32.08,22.08,11.04,2.02,.,.,.,.,.,.
CZE,1994,1,interm,1,30,476.55,1,3.02,3,6,12.1,10.18,6.15,5.08,10.1,10.09,22.21,18.14,37.14,57.3,77.28,75.19,37.13,59.21,26.23,.,.,.,.,.,.
CZE,1994,1,interm,1,31,445.3,0,3.02,3,5,4.03,3.06,5.12,9.14,9.09,12.1,19.19,30.24,41.15,66.35,73.26,67.17,32.12,53.19,9.08,.,.,.,.,.,.
CZE,1994,1,interm,1,32,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,.,.,.,.,.,.
CZE,1994,1,interm,1,33,664.48,3,2.02,7,2,12.1,7.13,4.1,4.06,18.17,24.2,38.37,57.45,58.21,90.48,92.33,113.29,37.13,72.25,21.19,.,.,.,.,.,.
CZE,1994,1,interm,1,34,143.71,2,0,0,0,1.01,3.06,1.02,0,1.01,3.03,8.08,8.06,10.04,17.09,23.08,33.08,13.05,13.05,7.06,.,.,.,.,.,.
CZE,1994,1,interm,1,35,523.32,0,0,0,0,0,0,0,3.05,2.02,16.14,18.18,23.18,27.1,58.31,81.29,115.29,72.26,81.29,25.22,.,.,.,.,.,.
CZE,1994,1,interm,1,36,4.02,0,0,0,0,0,0,0,0,0,1.01,0,0,1,0,0,1,0,1,0,.,.,.,.,.,.
CZE,1994,1,interm,1,37,46.31,8,3.02,1,3,3.02,4.07,1.02,0,1.01,4.03,5.05,1.01,1,2.01,2.01,1,3.01,0,3.03,.,.,.,.,.,.
CZE,1994,1,interm,1,38,52.26,4,0,1,3,0,1.02,0,1.02,3.03,3.03,2.02,4.03,0,3.02,6.02,6.02,3.01,10.04,2.02,.,.,.,.,.,.
CZE,1994,1,interm,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,40,46.34,0,0,0,0,1.01,0,1.02,1.02,2.02,7.06,8.08,9.07,5.02,4.02,3.01,4.01,0,1,0,.,.,.,.,.,.
CZE,1994,1,interm,1,41,4.04,0,0,0,0,0,0,1.02,0,0,0,0,0,0,2.01,0,1,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,42,5.04,0,0,0,0,1.01,0,0,0,1.01,1.01,1.01,0,1,0,0,0,0,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,43,100.7,2,2.02,0,0,0,0,3.07,2.03,7.07,11.09,13.13,16.13,8.03,12.06,11.04,12.03,1,0,0,.,.,.,.,.,.
CZE,1994,1,interm,1,44,46.19,0,0,0,0,0,1.02,0,0,0,0,1.01,1.01,2.01,6.03,8.03,13.03,4.01,9.03,1.01,.,.,.,.,.,.
CZE,1994,1,interm,1,45,130.65,0,3.02,0,0,0,0,0,0,0,0,6.06,5.04,9.03,16.09,15.05,15.04,9.03,33.12,19.17,.,.,.,.,.,.
CZE,1994,1,interm,1,46,78.73,0,2.02,2,2,3.02,4.07,3.07,8.13,9.09,14.12,12.12,5.04,6.02,1.01,4.01,1,1,1,0,.,.,.,.,.,.
CZE,1994,1,interm,1,47,137.89,11,11.08,10,3,15.12,8.15,4.1,1.02,3.03,6.05,5.05,12.09,8.03,16.09,6.02,11.03,4.01,1,2.02,.,.,.,.,.,.
