country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
EST,1955,1,interm,1,0,6417.82,700.85,110.1,43.04,44.01,88.03,211.16,184.09,134.06,107.05,163.05,284.09,417.08,454.09,584.02,683.02,723.03,694.03,491.02,302.01,.,.,.,.,.,.
EST,1955,1,interm,1,1,60.01,47.91,6.59,0.19,0.28,0,0,1.05,0.04,0.03,0.03,0.05,0.78,0.85,0.37,0.44,0.46,0.44,0.31,0.19,.,.,.,.,.,.
EST,1955,1,interm,1,2,77.87,69.9,5.44,0.16,0.24,0,0,0,0,0,0,0,0.19,0.21,0.29,0.34,0.36,0.34,0.24,0.15,.,.,.,.,.,.
EST,1955,1,interm,1,3,549.17,9.19,9.37,1.22,4.54,12.99,27.98,44.08,32.5,25.95,32.71,56.99,72.07,78.47,23.7,27.72,29.34,28.17,19.93,12.26,.,.,.,.,.,.
EST,1955,1,interm,1,4,11.36,8.17,0,0,0,0,0,0,0,0,0.4,0.69,0,0,0.35,0.41,0.44,0.42,0.3,0.18,.,.,.,.,.,.
EST,1955,1,interm,1,5,26.76,6.47,7.56,5.55,0.64,1.13,0.03,0.03,0.7,0.56,0.49,0.85,0.55,0.6,0.27,0.31,0.33,0.32,0.23,0.14,.,.,.,.,.,.
EST,1955,1,interm,1,6,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,.,.,.,.,.,.
EST,1955,1,interm,1,7,10.86,0.16,0.18,0.52,0.7,0.2,0.28,0.25,0.18,0.15,0.09,0.16,0.7,0.76,1.1,1.28,1.36,1.3,0.92,0.57,.,.,.,.,.,.
EST,1955,1,interm,1,8,14.05,4.02,2.66,0.8,1.9,1.02,0.31,0.31,0.72,0.57,0.34,0.6,0,0,0.15,0.17,0.18,0.14,0.1,0.06,.,.,.,.,.,.
EST,1955,1,interm,1,9,18.38,0.41,0.14,0.58,1.24,0.35,0.74,0.74,0.98,0.7,1.62,2.82,1.59,1.73,0.8,0.93,0.99,0.95,0.67,0.41,.,.,.,.,.,.
EST,1955,1,interm,1,10,4.42,0,0,0,0,0,0,0,0.08,0.06,0.05,0.09,0.89,0.97,0.38,0.45,0.48,0.46,0.32,0.2,.,.,.,.,.,.
EST,1955,1,interm,1,11,18.38,0,0,0,0,0,0,0,0,0,0.79,1.38,2.12,2.3,1.98,2.32,2.45,2.35,1.66,1.02,.,.,.,.,.,.
