country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1956,1,interm,1,0,11041.96,1621.23,230.25,107.1,119.07,201.17,249.17,312.16,262.21,242.19,309.2,541.35,787.4,849.43,975.57,927.54,979.57,919.54,709.41,698.41,.,.,.,.,.,.
LTU,1956,1,interm,1,1,43.03,30.56,2.86,0,0,0,0.08,0,0.58,0.54,1.08,1.89,1.17,1.26,0.56,0.53,0.56,0.53,0.41,0.4,.,.,.,.,.,.
LTU,1956,1,interm,1,2,72.69,62.48,3.65,0.12,0.22,0.66,0,0,0,0,0.47,0.83,0,0,0.79,0.76,0.8,0.75,0.58,0.57,.,.,.,.,.,.
LTU,1956,1,interm,1,3,959.32,17.43,29.84,8.73,9.14,22.63,35.65,62.09,50.06,46.24,45.2,79.14,115.44,124.53,58.65,55.76,58.89,55.28,42.65,41.98,.,.,.,.,.,.
LTU,1956,1,interm,1,4,31.07,18.29,1.89,0.29,0.32,0.4,0,0,1.16,1.08,0.43,0.75,1.17,1.26,0.75,0.71,0.75,0.71,0.55,0.54,.,.,.,.,.,.
LTU,1956,1,interm,1,5,55.77,24.04,12.08,2.69,5.16,2.14,0.18,1.21,0.15,0.14,1,1.75,0.74,0.8,0.69,0.66,0.69,0.65,0.5,0.5,.,.,.,.,.,.
LTU,1956,1,interm,1,6,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,.,.,.,.,.,.
LTU,1956,1,interm,1,7,28.39,1.45,2.92,0.32,0.32,0.64,1.56,4.4,1.23,1.14,0.46,0.8,2.34,2.68,1.45,1.46,1.54,1.45,1.12,1.1,.,.,.,.,.,.
LTU,1956,1,interm,1,8,57.28,24.29,13.97,4.49,4.75,3.69,1.42,0.32,0.86,0.79,0.58,1.02,0.22,0.24,0.16,0.15,0.16,0.07,0.05,0.05,.,.,.,.,.,.
LTU,1956,1,interm,1,9,23.45,0.79,0.6,0.25,0.27,0.27,0.39,0.01,0.89,0.61,2.21,3.87,2.94,3.17,1.35,1.28,1.35,1.27,0.98,0.96,.,.,.,.,.,.
LTU,1956,1,interm,1,10,20.41,0,0,0,0,0,0,0,0.45,0.42,0.72,1.26,2.42,2.61,2.35,2.23,2.36,2.21,1.71,1.68,.,.,.,.,.,.
LTU,1956,1,interm,1,11,6.04,0,0,0,0,0,0,0,0,0,0.22,0.38,0.88,0.95,0.68,0.65,0.68,0.64,0.49,0.49,.,.,.,.,.,.
LTU,1956,1,interm,1,12,695.48,0,0,0,0,0,0.61,5.83,6.03,5.57,22.96,40.2,83.08,89.63,82.68,78.61,83.02,77.93,60.13,59.19,.,.,.,.,.,.
LTU,1956,1,interm,1,13,32.43,0,0,0,0,0,0,0,0.58,0.63,1.1,1.93,3.69,3.98,3.84,3.65,3.86,3.62,2.79,2.75,.,.,.,.,.,.
LTU,1956,1,interm,1,14,12.73,0,0,0,0,0,0,0,0.47,0.43,0,0,2.34,2.53,1.3,1.24,1.31,1.23,0.95,0.93,.,.,.,.,.,.
LTU,1956,1,interm,1,15,27.32,0,0,0.13,0.23,0,0,0,0.34,0.31,0.55,0.96,1.83,1.97,3.93,3.74,3.95,3.71,2.86,2.81,.,.,.,.,.,.
LTU,1956,1,interm,1,16,71.74,0,0,0.3,0.55,0,0,0,0.8,0.74,1.29,2.25,4.31,4.65,10.65,10.12,10.69,10.04,7.74,7.62,.,.,.,.,.,.
LTU,1956,1,interm,1,17,29.27,0,0,0.12,0.23,0,0,0,0.53,0.39,0.67,1.17,2.24,2.42,4.03,3.83,4.04,3.8,2.93,2.88,.,.,.,.,.,.
LTU,1956,1,interm,1,18,35.87,0,0,0,0,0,0,0,0,0,1.1,1.92,3.98,4.29,4.6,4.38,4.62,4.34,3.35,3.3,.,.,.,.,.,.
