country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LVA,1956,1,interm,1,0,9712.29,690.18,124.01,97.01,82.03,141.14,229.32,257.46,175.42,172.23,291.22,429.33,631.29,595.28,814.33,1029.42,1164.47,1165.47,934.38,688.28,.,.,.,.,.,.
LVA,1956,1,interm,1,1,14.6,12.36,0.68,0,0,0.15,0,0,0.07,0.07,0,0,0.25,0.23,0.11,0.14,0.16,0.16,0.13,0.09,.,.,.,.,.,.
LVA,1956,1,interm,1,2,10.9,10.4,0.32,0,0,0,0,0,0,0,0.01,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.01,.,.,.,.,.,.
LVA,1956,1,interm,1,3,638.47,12.01,7.25,2.74,3.58,10.43,26.85,45.16,32.04,31.49,46.07,67.91,65.34,61.61,31.75,40.14,45.41,45.44,36.43,26.84,.,.,.,.,.,.
LVA,1956,1,interm,1,4,32.75,19.89,0,2.06,0,0,0.51,0,0.53,0.52,0.43,0.63,2.16,2.03,0.56,0.71,0.81,0.81,0.65,0.48,.,.,.,.,.,.
LVA,1956,1,interm,1,5,34.58,7.29,8.22,7.95,3.95,2.11,0.18,0,0.39,0.31,0.5,0.74,0.32,0.3,0.32,0.41,0.46,0.46,0.37,0.27,.,.,.,.,.,.
LVA,1956,1,interm,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,7,15.85,0.1,0.3,0.54,0.46,1.55,0.98,1.39,0.51,0.5,0.5,0.73,0.8,0.76,0.94,1.19,1.35,1.35,1.08,0.8,.,.,.,.,.,.
LVA,1956,1,interm,1,8,28.7,5.03,7.52,1.84,0.8,3.45,2.19,3.66,0.53,0.52,0.09,0.13,0.85,0.81,0.21,0.27,0.3,0.21,0.17,0.12,.,.,.,.,.,.
LVA,1956,1,interm,1,9,22.83,0.28,1.09,0.21,0.07,0.69,0.27,0.53,0.26,0.15,1.28,1.89,3.32,3.13,1.36,1.72,1.94,1.94,1.56,1.15,.,.,.,.,.,.
LVA,1956,1,interm,1,10,19.96,0,0,0,0,0,0.12,0.12,0.12,0.12,0.43,0.64,2.12,2,2.01,2.54,2.87,2.88,2.31,1.7,.,.,.,.,.,.
LVA,1956,1,interm,1,11,43.36,0,0,0,0,0,0,0.42,0.21,0.21,0.68,1,2.16,2.03,5.15,6.51,7.36,7.37,5.91,4.35,.,.,.,.,.,.
LVA,1956,1,interm,1,12,606.93,0,0,0,0,0,1.03,2.73,5.07,4.99,25.72,37.91,65.22,61.5,56.58,71.53,80.91,80.98,64.92,47.82,.,.,.,.,.,.
LVA,1956,1,interm,1,13,47.27,0,0,0,0,0,0.22,0.62,0.23,0.27,0.98,1.44,5.66,5.34,4.57,5.77,6.53,6.54,5.24,3.86,.,.,.,.,.,.
LVA,1956,1,interm,1,14,35.7,0,0,0,0,0,0,1.57,0,0,0,0,2.83,2.67,4.02,5.08,5.75,5.76,4.62,3.4,.,.,.,.,.,.
LVA,1956,1,interm,1,15,28.68,0.02,0.05,0.03,0.01,0.02,0.13,0.21,0.21,0.21,0.64,0.95,2.84,2.68,2.91,3.67,4.16,4.16,3.33,2.46,.,.,.,.,.,.
LVA,1956,1,interm,1,16,78.94,0.05,0.13,0.08,0.02,0.06,0.37,0.58,0.58,0.57,1.77,2.61,7.82,7.38,8,10.11,11.44,11.45,9.18,6.76,.,.,.,.,.,.
LVA,1956,1,interm,1,17,23.11,0.01,0.03,0.02,0,0.01,0.15,0.33,0.2,0.16,0.5,0.74,2.39,2.25,2.29,2.9,3.28,3.28,2.63,1.94,.,.,.,.,.,.
LVA,1956,1,interm,1,18,32.72,0,0,0,0,0,0,0,0.3,0.29,1.19,1.76,2.41,2.28,3.44,4.35,4.92,4.93,3.95,2.91,.,.,.,.,.,.
LVA,1956,1,interm,1,19,320.71,0,0,0.1,0.09,0,1.02,0,1.28,1.26,10.63,15.67,50.02,47.17,27.18,34.36,38.87,38.9,31.19,22.97,.,.,.,.,.,.
LVA,1956,1,interm,1,20,6.61,0,0.09,0.02,0.01,0,0,0.13,0.05,0.05,0.04,0.06,0.08,0.08,0.84,1.07,1.21,1.21,0.97,0.71,.,.,.,.,.,.
LVA,1956,1,interm,1,21,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.2,0.23,0.23,0.18,0.14,.,.,.,.,.,.
LVA,1956,1,interm,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
LVA,1956,1,interm,1,25,69.99,0.36,0.38,0.37,0,0.38,0,0,0.51,0.5,1.09,1.61,3.8,3.58,8.07,10.2,11.54,11.55,9.26,6.82,.,.,.,.,.,.
LVA,1956,1,interm,1,26,9.44,0.04,0.04,0.04,0,0.04,0,0,0.13,0.13,0.28,0.41,0.96,0.91,0.91,1.15,1.3,1.3,1.04,0.77,.,.,.,.,.,.
LVA,1956,1,interm,1,27,35.07,0.13,0.13,0.13,0,0.13,0,0,0.2,0.2,0.43,0.63,1.5,1.41,4.24,5.36,6.06,6.07,4.87,3.58,.,.,.,.,.,.
LVA,1956,1,interm,1,28,48.7,0.3,0.31,0.31,0,0.31,0,0,0.47,0.46,1.01,1.49,3.52,3.32,5.22,6.6,7.47,7.48,5.99,4.42,.,.,.,.,.,.
LVA,1956,1,interm,1,29,27.42,0.04,0.87,0.29,0.22,0.04,0,1.05,0.64,0.63,1.15,1.69,2.27,2.14,2.31,2.91,3.3,3.3,2.65,1.95,.,.,.,.,.,.
LVA,1956,1,interm,1,30,45.86,0.63,0.63,2.72,2.34,4.89,1.77,0.59,0.62,0.61,2.44,3.6,3.71,3.5,2.5,3.16,3.58,3.58,2.87,2.11,.,.,.,.,.,.
