country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
POL,1959,1,interm,1,0,131357,29556.1,3545.22,1360.54,936.96,1349.62,2303.49,2619.25,2758.11,2846.98,2506.27,5027,7824.81,10451.88,11750.85,11807.89,12151.73,10349.14,7392.3,4818.86,.,.,.,.,.,.
POL,1959,1,interm,1,1,844.05,670.45,63.92,9.8,3.27,6.44,8.45,5.56,11.82,7.69,1.22,7.63,4.23,7.91,10.88,13.19,5.63,0.02,0.12,5.82,.,.,.,.,.,.
POL,1959,1,interm,1,2,1680.19,1525.37,141.66,9.53,0.74,1.21,0,0,0,0,0,0.48,0,0,0.64,0,0.41,0.15,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,3,9827.52,150.81,148.06,37.05,17.95,60.62,241.95,495.36,674.2,628.26,518.67,920.58,1216.19,1375.42,1242.31,999.31,617.2,317.18,123.54,42.86,.,.,.,.,.,.
POL,1959,1,interm,1,4,967.7,734.72,57.89,11.73,7.94,5.22,2.38,7.39,5.48,6.09,5.26,13.97,14.97,15.38,23.55,17.51,19.13,9.55,9.54,0,.,.,.,.,.,.
POL,1959,1,interm,1,5,1026.61,510.2,201.61,83.23,37.02,6.33,6.35,8.52,13.83,16.35,5.93,18.75,18.4,17,18.63,19.91,16.33,23.37,2.05,2.8,.,.,.,.,.,.
POL,1959,1,interm,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,7,56.19,8.73,3.24,0.08,2.05,0.99,0.27,2.91,0.5,3.29,0.44,1.31,5.73,5.38,7,7.31,1.53,2.66,2.63,0.14,.,.,.,.,.,.
POL,1959,1,interm,1,8,264.02,146.47,77.06,9.91,4.21,1.86,3.25,2.26,0.83,0.84,0.38,3.14,1.06,1.94,2.28,2.68,1.7,1.36,0.28,2.51,.,.,.,.,.,.
POL,1959,1,interm,1,9,216.72,30.98,17.79,13.72,8.59,3.43,3.17,10.06,2.82,5.69,4.59,8.38,11.31,16.63,13.33,16.13,22.59,19.21,3.3,5,.,.,.,.,.,.
POL,1959,1,interm,1,10,367.66,0,3.16,1.06,2.11,0,3.17,2.07,5.02,8.88,4.21,24.03,45.77,45.04,57.76,49.69,36.49,35.79,27.35,16.06,.,.,.,.,.,.
POL,1959,1,interm,1,11,563.93,0,1.1,0,0,0,0,0,3.13,10.48,9.46,23.05,43.33,84.08,92.85,85.27,78.55,63.05,45.48,24.1,.,.,.,.,.,.
POL,1959,1,interm,1,12,5014.52,0,3.3,5.28,3.16,6.27,3.17,16.53,40.67,71.27,146.13,290.22,507.24,739.5,836.79,847.8,720.04,451.58,242.58,82.99,.,.,.,.,.,.
POL,1959,1,interm,1,13,245.79,0,0,0.15,0.45,0,0.29,1.53,3.81,4.86,9.83,17.32,25.89,35.15,29.72,34.76,38.73,18.84,12.94,11.52,.,.,.,.,.,.
POL,1959,1,interm,1,14,249.91,0,0,0.38,0.25,0,0.76,1.57,3.49,5.88,6.57,12.71,30.79,34,35.78,37.1,43.93,12.94,11.19,12.57,.,.,.,.,.,.
POL,1959,1,interm,1,15,342.09,0,3.3,0,0.26,0,0.79,0,1.15,5.11,5.06,14.28,27.93,44.87,60.66,50.1,54.88,41.46,24.41,7.83,.,.,.,.,.,.
POL,1959,1,interm,1,16,246.7,0,0,0,0.26,0,0,1.48,3.84,4.6,9.08,19.36,40.41,43.34,31.25,42.58,19.44,24.83,2.91,3.32,.,.,.,.,.,.
POL,1959,1,interm,1,17,894.15,0.24,3.34,3.63,0.35,1.56,8.65,2.76,9.16,11.3,11.18,31.42,77,123.93,143.63,137.47,146.7,104.64,59.89,17.3,.,.,.,.,.,.
POL,1959,1,interm,1,18,200.29,0,0,0.27,0,1.16,2.75,0.15,2.86,5.76,3.58,10.44,22.47,33.01,21.51,45.75,27.08,12.54,8.55,2.41,.,.,.,.,.,.
POL,1959,1,interm,1,19,2136.2,0,5.51,1.56,0,3.9,5.87,3.86,14.85,24.52,39.53,127.3,262.14,422.25,434.24,335.75,277.16,129.39,38.44,9.93,.,.,.,.,.,.
POL,1959,1,interm,1,20,83.29,0,0.71,0,0.02,0.52,0,2.06,2.37,2.09,3,6.71,5.45,6.13,5.95,7.08,11.47,7.63,14.78,7.32,.,.,.,.,.,.
POL,1959,1,interm,1,21,12.01,0,0.32,0,0.04,0,0,0,0,0,0,0,1.86,2.52,2.56,0.59,0.55,1.08,2.41,0.08,.,.,.,.,.,.
POL,1959,1,interm,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,25,418.4,0,1.1,0,0,2.09,0,1.03,0,0,0,4.19,7.4,24.79,43.56,60.56,84.37,107.36,49.82,32.13,.,.,.,.,.,.
POL,1959,1,interm,1,26,79.33,1.05,0,0,0,0,1.06,3.1,2.09,1.05,4.21,2.1,6.34,8.62,13.76,4.94,10.18,6.82,8.66,5.35,.,.,.,.,.,.
POL,1959,1,interm,1,27,386.51,0,1.55,0.62,0,0.96,0,0,0.81,1.88,4.21,5.69,28.98,48.85,60.23,77.74,57.84,49.57,27.85,19.73,.,.,.,.,.,.
POL,1959,1,interm,1,28,277.65,0.21,6.74,3.69,1.12,0.96,1.51,0,2.32,3.06,9.2,15.92,24.05,40.97,45.98,52.53,30.92,27.24,7.3,3.93,.,.,.,.,.,.
POL,1959,1,interm,1,29,437.04,2.58,10.79,15.11,6.92,4.13,8.83,9.69,12.22,15.28,19.9,29.35,68.48,68.28,78.47,54.04,20.44,7.6,3.49,1.44,.,.,.,.,.,.
POL,1959,1,interm,1,30,544.23,16.05,58.28,52.66,31.48,22.78,22.15,29,17.68,17.75,14.88,23.54,42.49,42.34,50.74,52.89,26.84,19.01,3.16,0.51,.,.,.,.,.,.
POL,1959,1,interm,1,31,237.49,2.51,6.79,7.43,5.76,6.02,13.27,13.39,16.94,18.49,17.71,23.9,26.95,18.77,22.9,16.36,11.66,4.01,4.63,0,.,.,.,.,.,.
POL,1959,1,interm,1,32,11.9,0,0.27,0.06,0.07,0.05,0.06,0.06,0.17,0.29,0.4,0.59,1.22,1.85,1.41,1.73,1.24,1.22,0.75,0.46,.,.,.,.,.,.
POL,1959,1,interm,1,33,1682.47,4.08,33.87,25.49,15.95,14.53,15.34,39.83,40.28,38.55,49.56,106.19,168.47,236.26,222.77,240.8,170.38,139.18,74.93,46.01,.,.,.,.,.,.
POL,1959,1,interm,1,34,1092.5,20.67,16.68,17.53,14.89,11.71,14.31,21.49,34.92,53.45,35.47,88.12,128.03,142.47,119.98,118.62,103.06,92.59,32.71,25.8,.,.,.,.,.,.
POL,1959,1,interm,1,35,450.66,3.14,5.52,3.17,4.23,8.38,7.41,11.4,14.64,15.76,11.6,16.81,34.97,29.19,63.22,63.2,90.44,41.01,23.89,2.68,.,.,.,.,.,.
POL,1959,1,interm,1,36,7.46,4.67,0.83,0,0.4,0,0,0,0,0,0,0,0,0,1.15,0.41,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,37,205.12,130.19,21.42,3.64,3.69,1.04,0,0,1.04,2.44,4.21,2.58,2.11,8.54,12.61,4.48,1.7,2.83,2.6,0,.,.,.,.,.,.
POL,1959,1,interm,1,38,357.09,62.41,20.43,10.4,2.17,5.37,4.64,11.14,12.32,10.83,8.17,11,33.72,25.06,40.33,31.57,28.85,12.43,15.79,10.46,.,.,.,.,.,.
POL,1959,1,interm,1,39,156.41,0.71,0,0,0,0,0,0,0.54,0,0.21,0.95,1.27,4.57,14.11,12.89,27.18,34.37,32.38,27.23,.,.,.,.,.,.
POL,1959,1,interm,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
POL,1959,1,interm,1,41,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.08,0.13,0.12,0.08,0.03,.,.,.,.,.,.
POL,1959,1,interm,1,42,140.13,0.3,0,0,0,0,0,0,0.23,0,0.09,0.41,0.55,1.96,8.79,23.64,27.46,32.01,23.27,21.42,.,.,.,.,.,.
POL,1959,1,interm,1,43,176.09,15.81,1.81,0.07,1.46,0.21,2.32,5.74,4.54,2.52,8.13,13.6,14.15,11.87,16.95,15.37,28.25,10.26,19,4.03,.,.,.,.,.,.
POL,1959,1,interm,1,44,61.59,1.36,0.42,0.07,0.18,0,0,0,2.39,0.04,3.97,4.75,1.11,7.92,4.45,8.34,17.01,5.54,3.63,0.41,.,.,.,.,.,.
POL,1959,1,interm,1,45,723.66,17.91,12.09,15.53,4.06,3.03,16.79,14.64,9.29,16.01,15.8,17.91,37.59,66.31,85.49,80.62,108.28,93.15,60.44,48.72,.,.,.,.,.,.
POL,1959,1,interm,1,46,249.14,24.15,19.91,13.78,15.87,14.68,22.27,22.84,13.62,12.63,7.39,17.89,7.43,14.08,12.66,11.17,8.77,5.13,2.18,2.69,.,.,.,.,.,.
POL,1959,1,interm,1,47,2775.76,1468.04,287.04,97.67,48.54,48.65,57.01,59.45,56.05,41.98,36.88,56.06,89.8,79.77,74.44,81.45,63.44,60.9,31.57,37.02,.,.,.,.,.,.
POL,1959,1,interm,1,48,1747.61,25.68,12.44,23.11,46.2,28.21,57.53,55.1,82.06,86.02,61.36,109.76,172.87,196.35,180.52,166.64,155.47,136.76,95.34,56.19,.,.,.,.,.,.
POL,1959,1,interm,1,49,363.86,0,0.43,0.13,1.08,0.95,1.55,0.15,0.95,3.4,7.06,10.56,36.72,44.59,59.76,52.27,54.06,47.77,24.95,17.48,.,.,.,.,.,.
POL,1959,1,interm,1,50,1077.76,0,2.34,0.13,5.92,1.99,1.81,1.61,7.65,9.83,13.96,48.61,102.51,98.01,150.92,137.67,183.48,156.19,105.64,49.49,.,.,.,.,.,.
POL,1959,1,interm,1,51,7710.95,42.1,10.96,12.92,10.79,11.08,20.66,55.84,120.4,199.19,208.3,511.02,807.26,1025,1201.11,1021.29,1018.08,750.09,443.48,241.38,.,.,.,.,.,.
POL,1959,1,interm,1,52,512.81,0,1.95,0.06,0,0.12,0.96,0.94,1.64,0.42,3.02,8.35,10.3,24.86,32.77,47.46,84.56,111.47,95.33,88.6,.,.,.,.,.,.
POL,1959,1,interm,1,53,4216.38,17.05,48.99,0.45,2.17,2.56,6.82,10.27,11.11,39.11,26.53,91.31,157.75,297.22,428.52,588.41,728.69,741.05,638.81,379.56,.,.,.,.,.,.
POL,1959,1,interm,1,54,4585.36,4.36,3.34,10.28,8.44,1.72,8.47,20.69,14.41,40.76,57.83,147.66,335.6,592.4,784.83,837.54,713.77,508.9,296.99,197.37,.,.,.,.,.,.
