country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
RUS,1965,1,interm,1,0,473781.78,41252.07,8377.18,6081.66,4734.51,7789.54,8427.67,19610.17,20126.89,27452.74,19279.17,17915.93,33439.33,39802.33,43570.57,41699.58,44901.33,38299.89,28330.05,22691.17,.,.,.,.,.,.
RUS,1965,1,interm,1,1,1167.12,567.74,318.19,49.63,14.43,12.89,10.33,22.54,14.46,19.36,11.64,8.54,18.25,21.73,15.89,16.24,10,14.67,11.34,9.22,.,.,.,.,.,.
RUS,1965,1,interm,1,2,408.19,228.17,115.75,12.47,4.19,1.22,1.78,2.99,3.17,3.68,2.97,2.27,5.92,4.34,4.35,4.03,2.09,3.53,2.67,2.61,.,.,.,.,.,.
RUS,1965,1,interm,1,3,22160.96,110.1,181.85,97.31,58.29,107.09,250.51,1138.64,1573.69,2615.93,2019.44,1702.28,2838.44,2945.37,2741.03,1710.5,1161.73,609.48,214.74,84.53,.,.,.,.,.,.
RUS,1965,1,interm,1,4,622.1,351.12,35.04,16.86,23.52,14.81,11.82,10.85,13.78,14.71,7.84,16.57,24.33,26.27,14.63,10.76,8.89,10.99,4.06,5.27,.,.,.,.,.,.
RUS,1965,1,interm,1,5,766.99,166.27,110.27,96.74,55.14,32.81,16.07,22.75,34.35,32,26.68,14.49,30.55,30.58,33.56,26.97,16.52,10.38,5.16,5.7,.,.,.,.,.,.
RUS,1965,1,interm,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
RUS,1965,1,interm,1,7,662.76,71.57,88.26,38.1,26.89,28.54,29.46,42.35,34.18,35.33,25.35,15.79,39.69,26.15,35.75,40.19,33.93,26.83,12.65,11.73,.,.,.,.,.,.
RUS,1965,1,interm,1,8,1267.22,280.01,356.45,146.04,74.75,47.39,24.83,53.22,42.91,45.27,24.81,31.15,38.26,39.74,23.92,18.95,7.86,6.61,3.99,1.08,.,.,.,.,.,.
RUS,1965,1,interm,1,9,663.1,56.58,19.46,11.34,8.5,13.77,15.5,38.22,40.98,54.05,41.94,45.49,61.41,79.56,63.28,47.24,28.33,24.29,8.88,4.27,.,.,.,.,.,.
RUS,1965,1,interm,1,10,1451.16,0,4.18,4.14,6.13,5.15,4.3,12.81,26,31.26,51.86,91.31,157.25,179.56,229.6,192.14,183.69,140.21,86.79,44.79,.,.,.,.,.,.
RUS,1965,1,interm,1,11,4854.32,0,0,0,0,0,2.71,6.34,18.96,64.77,95.33,180.66,449.95,605.16,829.41,827.1,833.84,557.44,279.28,103.38,.,.,.,.,.,.
RUS,1965,1,interm,1,12,33260.58,0,0,1.03,5.11,9.26,32.85,187.17,450.29,1176.44,1243.6,1702.05,4100.96,5126.38,5664.37,5016.72,4419.81,2687.62,1045.03,391.88,.,.,.,.,.,.
RUS,1965,1,interm,1,13,1759.24,0,5.5,8.56,6.15,7.74,9.3,33.34,44.19,72.2,66.54,95.79,191.3,232.29,229.02,280.63,213.24,163.74,70.43,29.3,.,.,.,.,.,.
RUS,1965,1,interm,1,14,1503.4,0,1.32,0.43,2.35,3.47,5.68,33.04,49.78,55.86,63.45,70,158.28,194.4,198.51,212.28,216.7,137.88,66.41,33.56,.,.,.,.,.,.
RUS,1965,1,interm,1,15,2313.42,1.11,5.22,4.21,2.29,4.74,5.77,19,30.25,63.97,77.65,102.6,249.12,358.04,411.64,365.42,299.75,191.63,82.36,38.67,.,.,.,.,.,.
RUS,1965,1,interm,1,16,3282.88,0.25,1.16,0.94,0.51,1.05,3.48,19.24,40.7,108.19,139.86,179.78,407.01,540.13,562.95,477.6,384.2,249.56,110.3,55.97,.,.,.,.,.,.
RUS,1965,1,interm,1,17,1081.97,0.23,2.64,3.28,2.2,3.16,3.96,13.74,20.1,38.42,37.82,44.88,104.62,143.01,166.55,166.08,153.42,105.43,49.74,22.67,.,.,.,.,.,.
RUS,1965,1,interm,1,18,1608.56,0,0,2.01,1,1,0,2,27.97,110.51,91.57,137.58,252.93,264.73,226.75,202.53,143.44,83.2,46.36,14.97,.,.,.,.,.,.
RUS,1965,1,interm,1,19,19821.69,1.01,4.97,3.69,8.32,10,17.64,70.02,115.2,453.82,624.47,942.02,2689.94,3792.9,4126.93,3364.94,2185.26,1014.65,318.48,77.42,.,.,.,.,.,.
RUS,1965,1,interm,1,20,335.84,0,2.09,1.03,0,1.03,1.03,3.08,6.15,15.33,12.26,14.22,27.38,35.49,30.49,34.65,39.12,49.99,30.67,31.83,.,.,.,.,.,.
