country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
UKR,1965,1,interm,1,0,163863.91,9520.01,2514.66,1487.41,1224.35,1970.52,2254.61,4780.28,4181.1,6643.75,5823.54,5154.36,10284.69,13569.62,16446.41,17790.7,18864,17938.82,13013.38,10401.7,.,.,.,.,.,.
UKR,1965,1,interm,1,1,101.98,53.01,12.33,3.05,3.07,1.01,1.02,3.04,2.03,3.04,1.02,1.01,3.04,3.03,3.04,2.03,1.02,4.1,1.04,1.05,.,.,.,.,.,.
UKR,1965,1,interm,1,2,462.5,395.08,32.87,2.04,0,0,2.04,1.01,2.03,1.01,3.05,2.03,3.04,4.04,5.07,4.06,2.04,2.05,1.04,0,.,.,.,.,.,.
UKR,1965,1,interm,1,3,8380.66,28.01,38.01,15.27,12.28,27.31,130.29,482.38,505.14,943.75,818.14,591.73,914.44,1107.29,1020.55,769.62,582.31,276.52,89.15,28.47,.,.,.,.,.,.
UKR,1965,1,interm,1,4,286.93,171.04,11.3,3.05,8.19,2.02,0,20.27,16.23,21.26,4.07,2.03,8.1,4.04,5.07,2.03,4.07,0,3.11,1.05,.,.,.,.,.,.
UKR,1965,1,interm,1,5,263.93,48.92,33.97,26.15,14.94,10,2.04,6.62,8.57,10.2,18.24,8.98,13.06,18.65,14.04,13.02,10.5,3.92,0,2.11,.,.,.,.,.,.
UKR,1965,1,interm,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
UKR,1965,1,interm,1,7,221.3,26.01,11.3,14.25,11.26,13.15,11.2,9.12,9.13,10.13,9.15,9.12,7.09,13.15,19.26,17.26,18.32,7.17,2.07,3.16,.,.,.,.,.,.
UKR,1965,1,interm,1,8,269.44,40.51,77.92,22.86,17.81,13.71,7.89,13.78,10.75,7.85,12.81,6.89,8.66,8.65,11.6,2.89,0.97,3.89,0,0,.,.,.,.,.,.
UKR,1965,1,interm,1,9,224.36,12.59,16.52,6.98,5.12,5.63,2.29,3.92,5.02,5.24,19.77,19.59,26.89,17.2,26.04,17.59,17.03,8.57,4.15,4.22,.,.,.,.,.,.
UKR,1965,1,interm,1,10,366.69,0,1.03,4.07,3.07,3.03,1.02,2.03,3.04,11.14,10.16,19.25,41.52,43.48,44.59,51.78,43.78,45.06,21.77,16.87,.,.,.,.,.,.
UKR,1965,1,interm,1,11,782.41,0,0,0,0,0,1.02,0,2.03,8.1,13.21,26.34,63.8,116.29,121.61,152.3,135.4,85,39.39,17.92,.,.,.,.,.,.
UKR,1965,1,interm,1,12,9051.36,0,1.03,1.02,1.02,4.05,10.18,41.55,105.49,280.49,355.71,377.94,1045.08,1444.03,1626.6,1555.49,1165.64,689.24,251.91,94.89,.,.,.,.,.,.
