country,year,sex,list,agf,cause,m0,m1,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85p,m85,m90p,m90,m95p,m95,m100p
RUS,1965,1,interm,1,0,39922,1710,904,739,1450,2477,3243,4275,5086,6819,8692,13014,18903,30132,42975,64766,92181,133937,213224,.,.,.,.,.,.
RUS,1965,1,interm,1,1,549,65,7,2,2,3,4,3,4,4,4,7,10,11,17,14,35,54,87,.,.,.,.,.,.
RUS,1965,1,interm,1,2,221,24,2,1,0,1,0,1,1,1,1,2,2,3,4,3,8,13,25,.,.,.,.,.,.
RUS,1965,1,interm,1,3,107,37,14,9,20,74,188,334,485,714,826,1105,1399,1896,1763,1676,1467,1015,794,.,.,.,.,.,.
RUS,1965,1,interm,1,4,340,7,3,4,3,3,2,3,3,3,8,9,12,10,11,13,26,19,50,.,.,.,.,.,.
RUS,1965,1,interm,1,5,161,23,14,9,6,5,4,7,6,9,7,12,15,23,28,24,25,24,54,.,.,.,.,.,.
RUS,1965,1,interm,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
RUS,1965,1,interm,1,7,69,18,6,4,5,9,7,7,7,9,8,15,12,25,41,49,65,60,110,.,.,.,.,.,.
RUS,1965,1,interm,1,8,271,73,22,12,9,7,9,9,8,9,15,15,19,17,20,11,16,19,10,.,.,.,.,.,.
RUS,1965,1,interm,1,9,55,4,2,1,3,5,6,9,10,15,22,24,38,44,49,41,58,42,40,.,.,.,.,.,.
RUS,1965,1,interm,1,10,0,1,1,1,1,1,2,6,6,18,44,61,85,159,198,265,337,410,421,.,.,.,.,.,.
RUS,1965,1,interm,1,11,0,0,0,0,0,1,1,4,12,34,88,175,287,574,852,1203,1342,1320,971,.,.,.,.,.,.
RUS,1965,1,interm,1,12,0,0,0,1,2,10,31,96,218,440,826,1596,2435,3918,5170,6375,6469,4941,3682,.,.,.,.,.,.
RUS,1965,1,interm,1,13,0,1,1,1,1,3,6,9,13,24,46,74,110,158,289,308,394,333,275,.,.,.,.,.,.
RUS,1965,1,interm,1,14,0,0,0,0,1,2,5,11,10,22,34,62,92,137,219,313,332,314,315,.,.,.,.,.,.
RUS,1965,1,interm,1,15,1,1,1,0,1,2,3,6,12,27,50,97,170,285,377,432,461,389,363,.,.,.,.,.,.
RUS,1965,1,interm,1,16,0,0,0,0,0,1,3,9,20,49,87,158,257,389,492,554,601,521,526,.,.,.,.,.,.
RUS,1965,1,interm,1,17,0,1,0,0,1,1,2,4,7,13,22,41,68,115,171,221,254,235,213,.,.,.,.,.,.
RUS,1965,1,interm,1,18,0,0,0,0,0,0,0,6,20,32,67,98,126,157,209,207,200,219,141,.,.,.,.,.,.
RUS,1965,1,interm,1,19,1,1,1,1,2,5,12,24,84,221,457,1047,1801,2854,3468,3152,2442,1506,728,.,.,.,.,.,.
RUS,1965,1,interm,1,20,0,0,0,0,0,0,1,1,3,4,7,11,17,21,36,56,120,145,299,.,.,.,.,.,.
RUS,1965,1,interm,1,21,0,0,0,0,0,0,0,0,1,2,2,4,4,6,11,12,13,5,144,.,.,.,.,.,.
RUS,1965,1,interm,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
RUS,1965,1,interm,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
RUS,1965,1,interm,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,.,.
RUS,1965,1,interm,1,25,0,0,0,0,0,0,0,1,1,2,6,18,48,128,287,475,709,892,985,.,.,.,.,.,.
RUS,1965,1,interm,1,26,0,1,0,0,2,2,4,5,4,5,6,9,10,14,32,53,111,118,87,.,.,.,.,.,.
RUS,1965,1,interm,1,27,1,1,0,0,0,0,1,1,4,8,17,40,89,152,303,426,624,633,800,.,.,.,.,.,.
RUS,1965,1,interm,1,28,5,12,3,0,0,1,3,3,9,17,33,62,106,140,214,233,273,211,210,.,.,.,.,.,.
RUS,1965,1,interm,1,29,6,15,14,12,16,11,11,17,24,32,44,52,69,76,74,60,46,37,28,.,.,.,.,.,.
RUS,1965,1,interm,1,30,32,50,34,30,31,25,22,22,29,36,49,84,117,161,211,227,182,118,104,.,.,.,.,.,.
RUS,1965,1,interm,1,31,18,17,20,14,18,23,22,24,29,37,51,77,111,128,135,122,116,105,68,.,.,.,.,.,.
RUS,1965,1,interm,1,32,0,0,0,0,0,0,0,0,0,1,1,1,2,4,5,6,7,7,8,.,.,.,.,.,.
RUS,1965,1,interm,1,33,6,10,7,7,13,12,14,21,31,52,85,130,220,315,393,437,509,472,498,.,.,.,.,.,.
RUS,1965,1,interm,1,34,39,14,13,11,17,11,13,23,24,43,59,81,106,164,150,187,198,270,227,.,.,.,.,.,.
RUS,1965,1,interm,1,35,0,1,1,2,3,2,4,5,7,13,10,16,29,36,73,62,80,35,93,.,.,.,.,.,.
RUS,1965,1,interm,1,36,6,1,0,0,0,0,0,1,1,1,2,2,4,3,5,6,12,11,15,.,.,.,.,.,.
RUS,1965,1,interm,1,37,64,10,3,2,3,2,3,3,6,4,6,7,13,10,15,22,20,24,26,.,.,.,.,.,.
RUS,1965,1,interm,1,38,95,12,6,7,7,8,5,5,6,9,6,14,19,23,35,37,66,25,47,.,.,.,.,.,.
RUS,1965,1,interm,1,39,0,0,0,0,0,0,0,0,0,0,0,1,2,8,24,38,65,127,219,.,.,.,.,.,.
RUS,1965,1,interm,1,40,0,0,0,0,1,6,14,33,40,43,46,41,35,45,44,49,73,23,36,.,.,.,.,.,.
RUS,1965,1,interm,1,41,0,0,0,0,0,1,0,1,1,1,1,1,1,1,4,2,1,1,2,.,.,.,.,.,.
RUS,1965,1,interm,1,42,7,4,10,7,6,5,6,5,7,8,6,10,15,19,32,21,20,25,41,.,.,.,.,.,.
RUS,1965,1,interm,1,43,18,4,3,3,6,11,15,17,16,21,20,22,20,26,22,46,41,90,155,.,.,.,.,.,.
RUS,1965,1,interm,1,44,1,0,0,0,0,0,0,0,0,0,1,2,3,7,17,32,45,40,20,.,.,.,.,.,.
RUS,1965,1,interm,1,45,7,1,0,0,0,1,2,3,5,12,11,23,25,32,37,41,43,47,80,.,.,.,.,.,.
RUS,1965,1,interm,1,46,8,13,12,16,23,33,31,32,27,33,33,27,30,27,25,36,40,55,21,.,.,.,.,.,.
RUS,1965,1,interm,1,47,320,52,25,21,24,24,23,24,27,42,45,54,63,68,103,145,210,243,430,.,.,.,.,.,.
RUS,1965,1,interm,1,48,1,5,12,27,62,81,100,139,167,221,294,292,305,359,402,568,1018,1533,2465,.,.,.,.,.,.
RUS,1965,1,interm,1,49,0,0,0,0,0,1,3,6,16,32,54,97,134,227,327,539,681,851,1271,.,.,.,.,.,.
RUS,1965,1,interm,1,50,0,0,0,0,1,5,9,21,37,84,127,239,383,583,729,1001,1113,1417,1716,.,.,.,.,.,.
RUS,1965,1,interm,1,51,0,0,0,0,1,5,18,52,115,253,435,745,1152,1817,2470,2629,2796,2830,3566,.,.,.,.,.,.
RUS,1965,1,interm,1,52,0,0,0,0,1,4,9,33,86,206,366,827,1549,3283,5885,12673,22786,40225,71345,.,.,.,.,.,.
RUS,1965,1,interm,1,53,0,0,0,0,1,2,4,24,44,86,110,184,257,519,979,1831,3377,5589,9247,.,.,.,.,.,.
RUS,1965,1,interm,1,54,1,0,0,0,1,1,1,1,2,4,5,9,16,36,67,167,274,397,774,.,.,.,.,.,.
RUS,1965,1,interm,1,55,0,0,0,0,1,0,0,0,0,1,1,1,2,4,6,14,22,30,44,.,.,.,.,.,.
RUS,1965,1,interm,1,56,0,0,0,0,1,1,1,2,3,4,4,6,10,21,32,66,74,96,171,.,.,.,.,.,.
RUS,1965,1,interm,1,57,2,0,1,1,3,3,3,3,4,6,6,11,20,66,131,419,838,1397,2879,.,.,.,.,.,.
RUS,1965,1,interm,1,58,4,0,1,3,9,13,19,37,49,74,77,100,135,201,221,369,523,918,2249,.,.,.,.,.,.
RUS,1965,1,interm,1,59,9,0,0,1,4,10,18,40,65,131,198,345,551,801,1224,1833,2672,3892,6243,.,.,.,.,.,.
RUS,1965,1,interm,1,60,0,0,0,0,0,1,2,6,13,32,59,129,248,553,941,1558,2344,3330,4518,.,.,.,.,.,.
RUS,1965,1,interm,1,61,1,0,0,1,1,4,6,18,36,93,186,483,982,2390,4420,8601,13909,23106,37630,.,.,.,.,.,.
RUS,1965,1,interm,1,62,0,0,0,0,0,0,2,0,1,3,9,27,53,124,211,371,558,953,1282,.,.,.,.,.,.
RUS,1965,1,interm,1,63,1,0,0,0,1,4,7,16,32,63,98,193,341,734,1325,3001,5600,11388,25606,.,.,.,.,.,.
RUS,1965,1,interm,1,64,5,1,1,0,1,2,3,6,10,14,18,24,32,51,74,142,239,433,818,.,.,.,.,.,.
RUS,1965,1,interm,1,65,954,77,11,7,9,7,6,9,9,13,15,15,24,44,64,147,233,420,938,.,.,.,.,.,.
RUS,1965,1,interm,1,66,9528,383,38,18,15,16,19,34,60,116,192,298,497,718,1004,1406,1764,2200,2767,.,.,.,.,.,.
RUS,1965,1,interm,1,67,295,18,4,2,2,1,1,1,2,2,1,2,3,4,5,9,13,24,29,.,.,.,.,.,.
RUS,1965,1,interm,1,68,1,1,0,0,1,0,1,1,4,10,22,32,57,109,222,339,524,537,588,.,.,.,.,.,.
RUS,1965,1,interm,1,69,4,4,1,1,1,5,8,19,40,90,185,367,778,1624,2602,4262,6045,8772,12373,.,.,.,.,.,.
RUS,1965,1,interm,1,70,0,0,0,0,0,0,1,2,5,9,11,11,8,5,4,5,8,16,29,.,.,.,.,.,.
RUS,1965,1,interm,1,71,0,0,0,0,0,0,0,1,3,7,19,33,57,77,96,159,212,288,403,.,.,.,.,.,.
RUS,1965,1,interm,1,72,8,2,1,1,2,6,6,12,22,40,67,108,183,256,330,522,728,925,1321,.,.,.,.,.,.
RUS,1965,1,interm,1,73,89,10,3,3,3,9,10,17,24,44,57,85,111,126,135,166,180,202,278,.,.,.,.,.,.
RUS,1965,1,interm,1,74,6,0,0,0,2,14,19,29,52,86,101,148,176,211,249,276,245,176,202,.,.,.,.,.,.
RUS,1965,1,interm,1,75,100,6,2,1,2,3,5,8,7,13,14,26,37,63,114,174,215,370,366,.,.,.,.,.,.
RUS,1965,1,interm,1,76,1996,51,15,11,12,18,24,39,39,62,84,110,153,230,297,428,517,670,660,.,.,.,.,.,.
RUS,1965,1,interm,1,77,0,0,0,0,0,1,2,3,6,9,11,12,11,13,16,13,21,17,24,.,.,.,.,.,.
RUS,1965,1,interm,1,78,4,2,2,4,3,9,14,19,30,52,79,103,139,192,263,406,508,668,915,.,.,.,.,.,.
RUS,1965,1,interm,1,79,14,1,1,0,2,3,4,6,11,10,9,23,25,37,66,83,95,89,115,.,.,.,.,.,.
RUS,1965,1,interm,1,80,9,0,0,0,0,1,1,2,3,5,7,22,28,62,106,150,277,323,462,.,.,.,.,.,.
